scenario,mean_lambda (1/lambda) (arrivals/hr),mean_lambda_rate (arrivals/hrs),mean_mu (services/hr),mean_mu_rate (services/hrs),mean_rho (utilization),n_runs
simulation_1,0.1271622153688039,7.863971204809045,0.38280902594909555,2.6122686044842007,0.3324076654111374,20
simulation_2,0.1271150402873503,7.866889690940167,0.35938582226652216,2.782524902327381,0.3538837666459437,20
simulation_3,0.12684720595517526,7.883500408778226,0.3427833955117284,2.917294166209941,0.3701321677807063,20
